year,decade,rank,title,artist
1961,1960s,63,Stand by Me,Ben E. King
1961,1960s,65,It's Gonna Work Out Fine,Ike & Tina Turner
1961,1960s,66,Baby Blue,The Echoes
1961,1960s,67,Baby Sittin' Boogie,Buzz Clifford
1961,1960s,68,Hats Off to Larry,Del Shannon
1961,1960s,69,Those Oldies but Goodies,Little Caesar & the Romans
1961,1960s,70,The Fly,Chubby Checker
1961,1960s,71,(Marie's the Name) His Latest Flame,Elvis Presley
1961,1960s,72,Wonderland by Night,Bert Kaempfert
1961,1960s,73,Bless You,Tony Orlando
1961,1960s,74,I've Told Every Little Star,Linda Scott
1961,1960s,75,One Track Mind,Bobby Lewis
1961,1960s,76,Angel Baby,Rosie and the Originals
1961,1960s,77,Pretty Little Angel Eyes,Curtis Lee
1961,1960s,78,Think Twice,Brook Benton
1961,1960s,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan
1961,1960s,80,Breakin' in a Brand New Broken Heart,Connie Francis
1961,1960s,81,Mama Said,The Shirelles
1961,1960s,82,Let the Four Winds Blow,Fats Domino
1961,1960s,83,The Writing on the Wall,Adam Wade
1961,1960s,84,My Kind of Girl,Matt Monro
1961,1960s,85,"Tonight My Love, Tonight",Paul Anka
1961,1960s,86,San Antonio Rose,Floyd Cramer
1961,1960s,87,Big Bad John,Jimmy Dean
1961,1960s,88,Good Time Baby,Bobby Rydell
1961,1960s,89,Rubber Ball,Bobby Vee
1961,1960s,90,Missing You,Ray Peterson
1961,1960s,91,Dum Dum,Brenda Lee
1961,1960s,92,I'm Gonna Knock on Your Door,Eddie Hodges
1961,1960s,93,You Can Depend on Me,Brenda Lee
1961,1960s,94,Let's Twist Again,Chubby Checker
1961,1960s,95,Take Five,The Dave Brubeck Quartet
1961,1960s,96,Are You Lonesome Tonight?,Elvis Presley
1961,1960s,97,Sea of Heartbreak,Don Gibson
1961,1960s,98,More Money for You and Me,The Four Preps
1961,1960s,99,You Must Have Been a Beautiful Baby,Bobby Darin
1961,1960s,100,Please Stay,The Drifters
1962,1960s,1,Stranger on the Shore,Acker Bilk
1962,1960s,2,I Can't Stop Loving You,Ray Charles
1962,1960s,3,Mashed Potato Time,Dee Dee Sharp
1962,1960s,4,Roses Are Red (My Love),Bobby Vinton
1962,1960s,5,The Stripper,David Rose
1962,1960s,6,Johnny Angel,Shelley Fabares
1962,1960s,7,The Loco-Motion,Little Eva
